# Simulation 4 (Up to date)
# 1037 data points written for 6 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Upper Section(1), Clear Section"
#   Discontinuity in rocket body diameter:  "Clear Section, Upper Section (2)"
#   Too many parallel fins
#   Recovery device deployment at high speed (73.3 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Position East of launch (ft),Position North of launch (ft)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.005,0.919,2.857,0,0
0.02,0.025,3.081,6.72,0,0
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.066,5.246,6.73,0,0
0.04,0.13,7.414,6.74,0,0
0.05,0.215,9.585,6.75,0,0
0.06,0.321,11.76,6.76,0,0
0.07,0.45,13.938,6.771,0,0
0.08,0.6,16.119,6.781,0,0
0.09,0.772,18.303,6.791,0,0
0.1,0.966,20.491,6.801,0,0
0.11,1.182,22.682,6.811,0,0
0.12,1.42,24.876,6.821,0,0
0.13,1.679,27.074,6.832,0,0
0.14,1.961,29.275,6.841,0,0
0.15,2.265,31.479,6.851,0,0
0.16,2.591,33.685,6.861,0,0
0.17,2.929,35.838,6.87,0,0
0.179,3.267,37.864,6.879,0,0
# Event LAUNCHROD occurred at t=0.188 seconds
0.188,3.603,39.783,6.887,0,0
0.201,4.139,42.667,6.898,-1.997e-5,0
0.22,5.013,47.003,6.915,-1.278e-4,0
0.249,6.483,53.527,6.939,-4.784e-4,0
0.293,9.047,63.361,6.974,-0.001,0
0.343,12.496,74.638,7.016,-0.003,-1.192e-8
0.393,16.512,85.985,7.06,-0.006,-3.019e-8
0.443,21.096,97.399,7.101,-0.01,-6.002e-8
0.493,26.253,108.878,7.142,-0.015,-1.029e-7
0.543,31.986,120.418,7.18,-0.021,-1.565e-7
0.593,38.296,132.018,7.217,-0.028,-2.156e-7
0.643,45.189,143.675,7.252,-0.035,-2.836e-7
0.693,52.665,155.385,7.285,-0.045,-3.641e-7
0.743,60.728,167.148,7.318,-0.054,-4.57e-7
0.793,69.381,178.958,7.347,-0.065,-5.758e-7
0.843,78.625,190.814,7.376,-0.077,-7.53e-7
0.893,88.463,202.714,7.402,-0.088,-1.017e-6
0.943,98.897,214.653,7.427,-0.1,-1.406e-6
0.993,109.929,226.629,7.45,-0.111,-1.947e-6
1.043,121.561,238.639,7.47,-0.121,-2.693e-6
1.093,133.794,250.68,7.49,-0.129,-3.682e-6
1.143,146.63,262.749,7.507,-0.135,-4.963e-6
1.193,160.069,274.843,7.522,-0.138,-6.566e-6
1.243,174.114,286.959,7.536,-0.138,-8.58e-6
1.293,188.766,299.092,7.546,-0.132,-1.117e-5
1.343,204.024,311.241,7.556,-0.121,-1.454e-5
1.393,219.89,323.402,7.563,-0.103,-1.894e-5
1.443,236.364,335.571,7.568,-0.077,-2.448e-5
1.493,253.447,347.746,7.572,-0.042,-3.127e-5
1.543,271.139,359.922,7.572,0.004,-3.936e-5
1.593,289.439,372.098,7.572,0.061,-4.883e-5
1.643,308.348,384.268,7.568,0.132,-5.964e-5
1.693,327.866,396.43,7.563,0.217,-7.168e-5
1.743,347.991,408.58,7.555,0.318,-8.485e-5
1.793,368.723,420.714,7.545,0.437,-9.908e-5
1.843,390.062,432.83,7.533,0.575,-1.143e-4
1.893,412.005,444.922,7.518,0.734,-1.306e-4
1.943,434.553,456.99,7.503,0.915,-1.479e-4
1.993,457.704,469.028,7.484,1.12,-1.661e-4
2.043,481.455,481.033,7.463,1.35,-1.852e-4
2.093,505.806,493.003,7.441,1.605,-2.051e-4
2.143,530.754,504.932,7.416,1.888,-2.255e-4
2.193,556.298,516.82,7.39,2.197,-2.462e-4
2.243,582.435,528.661,7.361,2.535,-2.671e-4
2.293,609.163,540.454,7.331,2.899,-2.877e-4
2.343,636.479,552.194,7.298,3.291,-3.077e-4
2.393,664.381,563.879,7.263,3.709,-3.267e-4
2.443,692.866,575.507,7.227,4.151,-3.442e-4
2.493,721.93,587.071,7.188,4.616,-3.597e-4
2.543,751.571,598.571,7.147,5.102,-3.726e-4
2.593,781.786,610.002,7.104,5.608,-3.825e-4
2.643,812.57,621.36,7.059,6.131,-3.893e-4
2.693,843.92,632.643,7.011,6.671,-3.932e-4
2.743,875.832,643.845,6.961,7.225,-3.943e-4
2.793,908.302,654.965,6.91,7.791,-3.929e-4
2.843,941.326,665.998,6.855,8.369,-3.896e-4
2.893,974.9,676.941,6.799,8.957,-3.852e-4
2.943,1009.018,687.791,6.74,9.554,-3.805e-4
2.993,1043.677,698.544,6.68,10.161,-3.768e-4
3.043,1078.87,709.197,6.618,10.778,-3.754e-4
3.093,1114.594,719.746,6.552,11.406,-3.774e-4
3.143,1150.842,730.188,6.486,12.044,-3.844e-4
3.193,1187.61,740.52,6.416,12.696,-3.977e-4
3.243,1224.892,750.738,6.346,13.363,-4.174e-4
3.293,1262.681,760.84,6.273,14.046,-4.421e-4
3.343,1300.973,770.821,6.198,14.747,-4.695e-4
3.393,1339.761,780.68,6.122,15.467,-4.97e-4
3.443,1379.038,790.412,6.043,16.207,-5.211e-4
3.493,1418.799,800.017,5.963,16.969,-5.377e-4
3.543,1459.037,809.491,5.882,17.752,-5.429e-4
3.593,1499.745,818.832,5.799,18.557,-5.332e-4
3.643,1540.917,828.037,5.714,19.381,-5.077e-4
3.693,1582.545,837.104,5.628,20.224,-4.672e-4
3.743,1624.623,845.986,5.513,21.085,-4.141e-4
3.793,1667.117,853.797,4.847,21.96,-3.51e-4
3.843,1709.967,860.19,3.967,22.848,-2.805e-4
3.893,1753.103,865.245,3.136,23.744,-2.045e-4
3.943,1796.462,869.095,2.388,24.646,-1.245e-4
3.993,1839.986,871.866,1.72,25.553,-4.155e-5
4.043,1883.643,874.415,1.581,26.461,4.354e-5
4.093,1927.426,876.907,1.546,27.374,1.294e-4
4.143,1971.332,879.34,1.51,28.29,2.151e-4
4.193,2015.358,881.715,1.473,29.209,3.006e-4
4.243,2059.497,883.837,1.316,30.133,3.865e-4
4.293,2103.72,885.063,0.761,31.06,4.741e-4
4.343,2147.981,885.38,0.197,31.988,5.649e-4
4.393,2192.251,885.424,0.028,32.919,6.593e-4
4.443,2236.523,885.444,0.013,33.853,7.573e-4
4.493,2280.788,885.179,-0.164,34.79,8.596e-4
4.543,2325.023,884.194,-0.609,35.73,9.668e-4
4.593,2369.191,882.565,-1.009,36.673,0.001
4.643,2413.276,880.834,-1.072,37.617,0.001
4.693,2457.275,879.106,-1.07,38.562,0.001
4.743,2501.187,877.381,-1.068,39.506,0.001
4.793,2545.013,875.658,-1.067,40.449,0.002
4.843,2588.753,873.937,-1.066,41.39,0.002
4.893,2632.406,872.217,-1.065,42.33,0.002
4.943,2675.974,870.499,-1.064,43.268,0.002
4.993,2719.456,868.782,-1.063,44.205,0.002
5.043,2762.852,867.067,-1.062,45.141,0.002
5.093,2806.158,865.175,-1.172,46.075,0.002
5.143,2849.358,862.81,-1.465,47.008,0.003
5.193,2892.429,860.023,-1.727,47.94,0.003
5.243,2935.359,857.181,-1.761,48.871,0.003
5.293,2978.147,854.355,-1.751,49.801,0.003
5.343,3020.794,851.544,-1.742,50.73,0.003
5.393,3063.302,848.749,-1.732,51.658,0.003
5.443,3105.67,845.968,-1.723,52.585,0.004
5.493,3147.899,843.202,-1.714,53.512,0.004
# Event BURNOUT occurred at t=5.53 seconds
# Event EJECTION_CHARGE occurred at t=5.53 seconds
5.53,3178.923,841.174,-1.707,54.193,0.004
5.58,3220.9,837.904,-2.027,55.116,0.004
5.63,3262.713,834.653,-2.015,56.036,0.004
5.68,3304.365,831.422,-2.003,56.951,0.005
5.73,3345.856,828.209,-1.992,57.861,0.005
5.78,3387.186,825.014,-1.981,58.767,0.005
5.83,3428.358,821.837,-1.97,59.669,0.005
5.88,3469.37,818.677,-1.959,60.567,0.005
5.93,3510.225,815.534,-1.949,61.461,0.006
5.98,3550.924,812.407,-1.938,62.352,0.006
6.03,3591.466,809.297,-1.928,63.241,0.006
6.08,3631.854,806.203,-1.918,64.129,0.006
6.13,3672.087,803.124,-1.909,65.017,0.006
6.18,3712.167,800.062,-1.899,65.904,0.007
6.23,3752.093,797.015,-1.889,66.791,0.007
6.28,3791.868,793.984,-1.879,67.678,0.007
6.33,3831.492,790.969,-1.869,68.564,0.007
6.38,3870.966,787.97,-1.86,69.448,0.008
6.43,3910.289,784.985,-1.851,70.33,0.008
6.48,3949.464,782.015,-1.841,71.209,0.008
6.53,3988.491,779.06,-1.832,72.086,0.008
6.58,4027.371,776.12,-1.823,72.959,0.009
6.63,4066.103,773.194,-1.815,73.829,0.009
6.68,4104.69,770.281,-1.806,74.694,0.009
6.73,4143.132,767.382,-1.798,75.555,0.009
6.78,4181.429,764.496,-1.79,76.413,0.01
6.83,4219.582,761.624,-1.782,77.268,0.01
6.88,4257.591,758.764,-1.774,78.12,0.01
6.93,4295.458,755.918,-1.766,78.969,0.01
6.98,4333.183,753.083,-1.758,79.815,0.011
7.03,4370.767,750.262,-1.75,80.66,0.011
7.08,4408.21,747.452,-1.743,81.503,0.011
7.13,4445.512,744.654,-1.735,82.345,0.011
7.18,4482.675,741.869,-1.728,83.186,0.012
7.23,4519.699,739.095,-1.721,84.026,0.012
7.28,4556.585,736.332,-1.713,84.867,0.012
7.33,4593.333,733.582,-1.706,85.707,0.013
7.38,4629.943,730.843,-1.699,86.546,0.013
7.43,4666.417,728.116,-1.692,87.385,0.013
7.48,4702.755,725.4,-1.684,88.222,0.013
7.53,4738.957,722.696,-1.677,89.058,0.014
7.58,4775.025,720.003,-1.67,89.892,0.014
7.63,4810.958,717.322,-1.664,90.722,0.014
7.68,4846.757,714.651,-1.657,91.55,0.015
7.73,4882.423,711.991,-1.65,92.373,0.015
7.78,4917.956,709.341,-1.644,93.193,0.015
7.83,4953.357,706.701,-1.638,94.009,0.016
7.88,4988.627,704.072,-1.631,94.821,0.016
7.93,5023.765,701.453,-1.625,95.63,0.016
7.98,5058.772,698.843,-1.619,96.435,0.016
8.03,5093.649,696.243,-1.613,97.238,0.017
8.08,5128.397,693.652,-1.608,98.037,0.017
8.13,5163.015,691.071,-1.602,98.835,0.017
8.18,5197.504,688.499,-1.596,99.631,0.018
8.23,5231.865,685.935,-1.591,100.426,0.018
8.28,5266.098,683.381,-1.585,101.221,0.018
8.33,5300.203,680.835,-1.58,102.016,0.018
8.38,5334.181,678.297,-1.574,102.811,0.019
8.43,5368.033,675.769,-1.569,103.608,0.019
8.48,5401.758,673.25,-1.563,104.405,0.019
8.53,5435.358,670.74,-1.558,105.203,0.02
8.58,5468.832,668.239,-1.552,106.001,0.02
8.63,5502.182,665.746,-1.546,106.799,0.02
8.68,5535.407,663.263,-1.541,107.596,0.021
8.73,5568.508,660.789,-1.536,108.391,0.021
8.78,5601.486,658.323,-1.53,109.185,0.021
8.83,5634.341,655.866,-1.525,109.977,0.022
8.88,5667.073,653.417,-1.52,110.765,0.022
8.93,5699.683,650.976,-1.515,111.551,0.022
8.98,5732.171,648.543,-1.51,112.333,0.023
9.03,5764.537,646.118,-1.505,113.111,0.023
9.08,5796.782,643.701,-1.5,113.887,0.023
9.13,5828.907,641.291,-1.495,114.659,0.024
9.18,5860.912,638.889,-1.491,115.428,0.024
9.23,5892.796,636.495,-1.486,116.194,0.024
9.28,5924.561,634.108,-1.481,116.958,0.025
9.33,5956.207,631.729,-1.477,117.718,0.025
9.38,5987.734,629.356,-1.472,118.476,0.026
9.43,6019.143,626.991,-1.468,119.231,0.026
9.48,6050.434,624.633,-1.464,119.983,0.026
9.53,6081.606,622.281,-1.46,120.734,0.027
9.58,6112.662,619.937,-1.456,121.484,0.027
9.63,6143.6,617.598,-1.452,122.232,0.027
9.68,6174.422,615.266,-1.447,122.98,0.028
9.73,6205.127,612.941,-1.443,123.729,0.028
9.78,6235.716,610.623,-1.439,124.478,0.028
9.83,6266.189,608.31,-1.435,125.227,0.029
9.88,6296.547,606.005,-1.431,125.977,0.029
9.93,6326.79,603.705,-1.427,126.728,0.03
9.98,6356.918,601.413,-1.423,127.48,0.03
10.03,6386.931,599.127,-1.419,128.233,0.03
10.08,6416.831,596.848,-1.414,128.986,0.031
10.13,6446.616,594.576,-1.41,129.738,0.031
10.18,6476.288,592.311,-1.406,130.49,0.032
10.23,6505.847,590.052,-1.402,131.239,0.032
10.28,6535.294,587.8,-1.398,131.987,0.032
10.33,6564.627,585.553,-1.395,132.733,0.033
10.38,6593.849,583.313,-1.391,133.476,0.033
10.43,6622.959,581.079,-1.387,134.218,0.034
10.48,6651.957,578.85,-1.383,134.958,0.034
10.53,6680.844,576.628,-1.38,135.695,0.034
10.58,6709.62,574.411,-1.376,136.43,0.035
10.63,6738.285,572.201,-1.372,137.162,0.035
10.68,6766.84,569.996,-1.369,137.891,0.036
10.73,6795.285,567.796,-1.366,138.616,0.036
10.78,6823.62,565.602,-1.362,139.34,0.037
10.83,6851.845,563.414,-1.359,140.06,0.037
10.88,6879.961,561.231,-1.355,140.778,0.037
10.93,6907.968,559.053,-1.352,141.494,0.038
10.98,6935.867,556.88,-1.349,142.207,0.038
11.03,6963.656,554.713,-1.346,142.919,0.039
11.08,6991.338,552.551,-1.342,143.628,0.039
11.13,7018.912,550.394,-1.339,144.336,0.04
11.18,7046.377,548.241,-1.336,145.042,0.04
11.23,7073.736,546.094,-1.333,145.748,0.04
11.28,7100.987,543.951,-1.33,146.453,0.041
11.33,7128.131,541.813,-1.328,147.158,0.041
11.38,7155.168,539.68,-1.325,147.863,0.042
11.43,7182.099,537.551,-1.322,148.568,0.042
11.48,7208.923,535.427,-1.319,149.274,0.043
11.53,7235.642,533.308,-1.316,149.981,0.043
11.58,7262.254,531.194,-1.313,150.689,0.044
11.63,7288.761,529.084,-1.31,151.397,0.044
11.68,7315.163,526.98,-1.307,152.106,0.045
11.73,7341.459,524.881,-1.304,152.815,0.045
11.78,7367.651,522.786,-1.3,153.524,0.046
11.83,7393.738,520.697,-1.297,154.233,0.046
11.88,7419.721,518.612,-1.294,154.941,0.047
11.93,7445.599,516.532,-1.291,155.648,0.047
11.98,7471.374,514.457,-1.288,156.354,0.047
12.03,7497.045,512.387,-1.286,157.058,0.048
12.08,7522.613,510.321,-1.283,157.76,0.048
12.13,7548.077,508.259,-1.28,158.46,0.049
12.18,7573.439,506.202,-1.277,159.158,0.049
12.23,7598.698,504.149,-1.275,159.854,0.05
12.28,7623.854,502.101,-1.272,160.548,0.05
12.33,7648.908,500.057,-1.269,161.24,0.051
12.38,7673.859,498.017,-1.267,161.929,0.051
12.43,7698.709,495.98,-1.264,162.617,0.052
12.48,7723.458,493.948,-1.262,163.303,0.052
12.53,7748.104,491.921,-1.259,163.987,0.053
12.58,7772.65,489.897,-1.257,164.669,0.053
12.63,7797.094,487.877,-1.254,165.35,0.054
12.68,7821.437,485.861,-1.252,166.029,0.054
12.73,7845.68,483.849,-1.25,166.706,0.055
12.78,7869.822,481.84,-1.247,167.383,0.055
12.83,7893.864,479.836,-1.245,168.058,0.056
12.88,7917.806,477.835,-1.242,168.732,0.056
12.93,7941.648,475.838,-1.24,169.405,0.057
12.98,7965.39,473.845,-1.238,170.077,0.057
13.03,7989.032,471.856,-1.236,170.747,0.058
13.08,8012.576,469.87,-1.233,171.417,0.058
13.13,8036.019,467.887,-1.231,172.087,0.059
13.18,8059.364,465.909,-1.229,172.756,0.059
13.23,8082.61,463.934,-1.227,173.424,0.06
13.28,8105.758,461.962,-1.224,174.091,0.061
13.33,8128.807,459.994,-1.222,174.758,0.061
13.38,8151.757,458.03,-1.22,175.424,0.062
13.43,8174.61,456.069,-1.218,176.09,0.062
13.48,8197.364,454.112,-1.216,176.754,0.063
13.53,8220.021,452.158,-1.213,177.418,0.063
13.58,8242.58,450.208,-1.211,178.082,0.064
13.63,8265.042,448.26,-1.21,178.745,0.064
13.68,8287.406,446.316,-1.207,179.407,0.065
13.73,8309.674,444.375,-1.205,180.07,0.066
13.78,8331.844,442.438,-1.203,180.732,0.066
13.83,8353.917,440.504,-1.201,181.394,0.067
13.88,8375.894,438.573,-1.199,182.056,0.067
13.93,8397.775,436.645,-1.197,182.718,0.068
13.98,8419.559,434.72,-1.195,183.38,0.068
14.03,8441.247,432.799,-1.193,184.041,0.069
14.08,8462.839,430.881,-1.191,184.702,0.07
14.13,8484.335,428.967,-1.189,185.363,0.07
14.18,8505.735,427.056,-1.187,186.022,0.071
14.23,8527.041,425.148,-1.185,186.681,0.071
14.28,8548.25,423.243,-1.183,187.338,0.072
14.33,8569.365,421.341,-1.181,187.995,0.072
14.38,8590.384,419.442,-1.179,188.65,0.073
14.43,8611.309,417.546,-1.178,189.303,0.074
14.48,8632.139,415.653,-1.176,189.956,0.074
14.53,8652.874,413.763,-1.174,190.607,0.075
14.58,8673.515,411.876,-1.172,191.257,0.075
14.63,8694.062,409.992,-1.17,191.905,0.076
14.68,8714.515,408.111,-1.168,192.552,0.076
14.73,8734.873,406.233,-1.167,193.198,0.077
14.78,8755.138,404.357,-1.165,193.843,0.078
14.83,8775.309,402.484,-1.163,194.486,0.078
14.88,8795.386,400.614,-1.162,195.128,0.079
14.93,8815.37,398.746,-1.16,195.769,0.079
14.98,8835.261,396.881,-1.158,196.409,0.08
15.03,8855.059,395.019,-1.157,197.049,0.081
15.08,8874.763,393.16,-1.155,197.687,0.081
15.13,8894.375,391.303,-1.153,198.324,0.082
15.18,8913.894,389.449,-1.152,198.961,0.082
15.23,8933.32,387.597,-1.15,199.596,0.083
15.28,8952.653,385.748,-1.149,200.231,0.084
15.33,8971.894,383.902,-1.147,200.866,0.084
15.38,8991.043,382.058,-1.145,201.499,0.085
15.43,9010.1,380.216,-1.144,202.132,0.085
15.48,9029.065,378.377,-1.142,202.764,0.086
15.53,9047.938,376.541,-1.141,203.395,0.087
15.58,9066.719,374.707,-1.139,204.025,0.087
15.63,9085.409,372.875,-1.138,204.655,0.088
15.68,9104.007,371.046,-1.136,205.284,0.088
15.73,9122.513,369.219,-1.135,205.913,0.089
15.78,9140.929,367.394,-1.133,206.541,0.09
15.83,9159.253,365.572,-1.132,207.169,0.09
15.88,9177.486,363.752,-1.131,207.796,0.091
15.93,9195.628,361.935,-1.129,208.423,0.092
15.98,9213.68,360.12,-1.128,209.049,0.092
16.03,9231.64,358.307,-1.126,209.675,0.093
16.08,9249.51,356.496,-1.125,210.301,0.094
16.13,9267.29,354.688,-1.123,210.926,0.094
16.18,9284.979,352.882,-1.122,211.551,0.095
16.23,9302.578,351.078,-1.121,212.175,0.096
16.28,9320.087,349.277,-1.119,212.799,0.096
16.33,9337.506,347.477,-1.118,213.422,0.097
16.38,9354.835,345.68,-1.116,214.045,0.098
16.43,9372.074,343.885,-1.115,214.667,0.098
16.48,9389.223,342.092,-1.114,215.288,0.099
16.53,9406.283,340.302,-1.112,215.909,0.1
16.58,9423.253,338.514,-1.111,216.528,0.1
16.63,9440.135,336.728,-1.11,217.146,0.101
16.68,9456.926,334.944,-1.108,217.763,0.102
16.73,9473.629,333.162,-1.107,218.379,0.102
16.78,9490.243,331.383,-1.106,218.993,0.103
16.83,9506.767,329.605,-1.105,219.607,0.104
16.88,9523.203,327.828,-1.103,220.22,0.104
16.93,9539.55,326.054,-1.102,220.832,0.105
16.98,9555.809,324.282,-1.101,221.444,0.106
17.03,9571.978,322.512,-1.1,222.054,0.106
17.08,9588.06,320.743,-1.099,222.665,0.107
17.13,9604.053,318.977,-1.098,223.274,0.108
17.18,9619.957,317.212,-1.096,223.883,0.108
17.23,9635.774,315.45,-1.095,224.491,0.109
17.28,9651.502,313.689,-1.094,225.099,0.11
17.33,9667.143,311.929,-1.093,225.707,0.11
17.38,9682.695,310.172,-1.092,226.314,0.111
17.43,9698.16,308.417,-1.091,226.921,0.112
17.48,9713.537,306.663,-1.09,227.527,0.112
17.53,9728.826,304.911,-1.088,228.133,0.113
17.58,9744.028,303.161,-1.087,228.739,0.114
17.63,9759.143,301.413,-1.086,229.344,0.114
17.68,9774.17,299.666,-1.085,229.949,0.115
17.73,9789.109,297.922,-1.084,230.553,0.116
17.78,9803.962,296.179,-1.083,231.156,0.116
17.83,9818.727,294.438,-1.082,231.759,0.117
17.88,9833.406,292.698,-1.081,232.362,0.118
17.93,9847.997,290.96,-1.08,232.964,0.119
17.98,9862.502,289.224,-1.079,233.566,0.119
18.03,9876.919,287.49,-1.078,234.167,0.12
18.08,9891.251,285.757,-1.077,234.767,0.121
18.13,9905.495,284.026,-1.076,235.367,0.121
18.18,9919.653,282.296,-1.075,235.967,0.122
18.23,9933.725,280.568,-1.074,236.566,0.123
18.28,9947.71,278.842,-1.073,237.165,0.123
18.33,9961.609,277.117,-1.072,237.763,0.124
18.38,9975.422,275.393,-1.071,238.361,0.125
18.43,9989.148,273.672,-1.07,238.959,0.126
18.48,1e4,271.952,-1.069,239.556,0.126
18.53,1.002e4,270.233,-1.068,240.152,0.127
18.58,1.003e4,268.516,-1.067,240.748,0.128
18.63,1.004e4,266.801,-1.066,241.344,0.129
18.68,1.006e4,265.087,-1.065,241.938,0.129
18.73,1.007e4,263.374,-1.064,242.533,0.13
18.78,1.008e4,261.663,-1.063,243.126,0.131
18.83,1.01e4,259.953,-1.062,243.72,0.132
18.88,1.011e4,258.245,-1.061,244.313,0.132
18.93,1.012e4,256.538,-1.061,244.905,0.133
18.98,1.013e4,254.833,-1.06,245.497,0.134
19.03,1.015e4,253.128,-1.059,246.088,0.135
19.08,1.016e4,251.426,-1.058,246.679,0.135
19.13,1.017e4,249.724,-1.057,247.27,0.136
19.18,1.018e4,248.024,-1.056,247.86,0.137
19.23,1.02e4,246.326,-1.055,248.45,0.138
19.28,1.021e4,244.629,-1.055,249.039,0.138
19.33,1.022e4,242.933,-1.054,249.628,0.139
19.38,1.023e4,241.239,-1.053,250.216,0.14
19.43,1.025e4,239.546,-1.052,250.803,0.141
19.48,1.026e4,237.854,-1.051,251.39,0.141
19.53,1.027e4,236.163,-1.051,251.976,0.142
19.58,1.028e4,234.474,-1.05,252.562,0.143
19.63,1.029e4,232.785,-1.049,253.148,0.144
19.68,1.03e4,231.098,-1.048,253.733,0.144
19.73,1.032e4,229.412,-1.048,254.318,0.145
19.78,1.033e4,227.728,-1.047,254.902,0.146
19.83,1.034e4,226.045,-1.046,255.486,0.147
19.88,1.035e4,224.363,-1.045,256.07,0.148
19.93,1.036e4,222.682,-1.044,256.653,0.148
19.98,1.037e4,221.002,-1.044,257.236,0.149
20.03,1.038e4,219.324,-1.043,257.819,0.15
20.08,1.039e4,217.647,-1.042,258.4,0.151
20.13,1.041e4,215.971,-1.041,258.982,0.152
20.18,1.042e4,214.296,-1.041,259.563,0.152
20.23,1.043e4,212.622,-1.04,260.143,0.153
20.28,1.044e4,210.949,-1.039,260.723,0.154
20.33,1.045e4,209.278,-1.039,261.302,0.155
20.38,1.046e4,207.607,-1.038,261.88,0.155
20.43,1.047e4,205.938,-1.037,262.458,0.156
20.48,1.048e4,204.27,-1.037,263.036,0.157
20.53,1.049e4,202.602,-1.036,263.613,0.158
20.58,1.05e4,200.936,-1.036,264.19,0.159
20.63,1.051e4,199.271,-1.035,264.766,0.159
20.68,1.052e4,197.606,-1.034,265.342,0.16
20.73,1.053e4,195.943,-1.034,265.918,0.161
20.78,1.054e4,194.28,-1.033,266.494,0.162
20.83,1.055e4,192.619,-1.032,267.069,0.163
20.88,1.056e4,190.959,-1.032,267.644,0.164
20.93,1.057e4,189.299,-1.031,268.219,0.164
20.98,1.058e4,187.641,-1.03,268.793,0.165
21.03,1.059e4,185.984,-1.03,269.367,0.166
21.08,1.06e4,184.328,-1.029,269.94,0.167
21.13,1.06e4,182.672,-1.029,270.513,0.168
21.18,1.061e4,181.018,-1.028,271.085,0.168
21.23,1.062e4,179.364,-1.028,271.657,0.169
21.28,1.063e4,177.712,-1.027,272.229,0.17
21.33,1.064e4,176.06,-1.027,272.8,0.171
21.38,1.065e4,174.409,-1.026,273.371,0.172
21.43,1.066e4,172.759,-1.025,273.942,0.173
21.48,1.067e4,171.11,-1.025,274.512,0.173
21.53,1.067e4,169.462,-1.024,275.082,0.174
21.58,1.068e4,167.814,-1.024,275.651,0.175
21.63,1.069e4,166.168,-1.023,276.22,0.176
21.68,1.07e4,164.522,-1.023,276.789,0.177
21.73,1.071e4,162.877,-1.022,277.357,0.177
21.78,1.072e4,161.233,-1.022,277.925,0.178
21.83,1.072e4,159.59,-1.021,278.492,0.179
21.88,1.073e4,157.948,-1.021,279.059,0.18
21.93,1.074e4,156.306,-1.02,279.626,0.181
21.98,1.075e4,154.665,-1.02,280.192,0.182
22.03,1.076e4,153.026,-1.019,280.758,0.182
22.08,1.076e4,151.386,-1.019,281.323,0.183
22.13,1.077e4,149.748,-1.018,281.888,0.184
22.18,1.078e4,148.11,-1.018,282.453,0.185
22.23,1.079e4,146.473,-1.017,283.017,0.186
22.28,1.079e4,144.837,-1.017,283.58,0.187
22.33,1.08e4,143.202,-1.016,284.143,0.188
22.38,1.081e4,141.567,-1.016,284.706,0.188
